Concurrency_Jobs,Silicon_Architecture,Instance_Name,Machine_Type,Silicon_Cores,Threads_Per_Job,Total_Txs_Proven,Job_1_Wall_Sec,Job_2_Wall_Sec,Job_3_Wall_Sec,Job_4_Wall_Sec,Job_5_Wall_Sec,Max_Instance_Wall_Sec,Job_1_TPS,Job_2_TPS,Job_3_TPS,Job_4_TPS,Job_5_TPS,Aggregate_Instance_TPS
1,ARM64 Neoverse V2,prover-vm-1,c4a-highcpu-16,16,16,500,418.03,,,,,418.03,1.196,,,,,1.196
1,ARM64 Neoverse V2,prover-vm-2,c4a-highcpu-32,32,32,500,279.09,,,,,279.09,1.792,,,,,1.792
1,ARM64 Neoverse V2,prover-vm-6,c4a-highcpu-48,48,48,500,223.10,,,,,223.10,2.241,,,,,2.241
1,ARM64 Neoverse V2,prover-vm-4,c4a-highcpu-64,64,64,500,200.96,,,,,200.96,2.488,,,,,2.488
1,ARM64 Neoverse V2,prover-vm-5,c4a-highcpu-72,72,72,500,193.22,,,,,193.22,2.588,,,,,2.588
1,ARM64 Neoverse V2,prover-vm-3,c4a-highcpu-8,8,8,500,692.09,,,,,692.09,0.722,,,,,0.722
2,ARM64 Neoverse V2,prover-vm-1,c4a-highcpu-16,16,8,1000,915.56,916.20,,,,916.20,0.546,0.546,,,,1.092
2,ARM64 Neoverse V2,prover-vm-2,c4a-highcpu-32,32,16,1000,545.38,542.12,,,,545.38,0.917,0.922,,,,1.839
2,ARM64 Neoverse V2,prover-vm-6,c4a-highcpu-48,48,24,1000,316.09,315.09,,,,316.09,1.582,1.587,,,,3.169
2,ARM64 Neoverse V2,prover-vm-4,c4a-highcpu-64,64,32,1000,326.43,327.38,,,,327.38,1.532,1.527,,,,3.059
2,ARM64 Neoverse V2,prover-vm-5,c4a-highcpu-72,72,36,1000,304.91,306.05,,,,306.05,1.640,1.634,,,,3.274
2,ARM64 Neoverse V2,prover-vm-3,c4a-highcpu-8,8,4,1000,1771.03,1765.95,,,,1771.03,0.282,0.283,,,,0.565
3,ARM64 Neoverse V2,prover-vm-2,c4a-highcpu-32,32,10,1500,586.91,584.95,587.35,,,587.35,0.852,0.855,0.851,,,2.558
3,ARM64 Neoverse V2,prover-vm-6,c4a-highcpu-48,48,16,1500,411.31,411.97,412.29,,,412.29,1.216,1.214,1.213,,,3.643
3,ARM64 Neoverse V2,prover-vm-4,c4a-highcpu-64,64,21,1500,342.26,342.94,341.51,,,342.94,1.461,1.458,1.464,,,4.383
3,ARM64 Neoverse V2,prover-vm-5,c4a-highcpu-72,72,24,1500,317.72,316.76,316.40,,,317.72,1.574,1.579,1.580,,,4.733
4,AMD Genoa 4th Gen,prover-c3d-30,c3d-highcpu-30,30,7,2000,1234.96,1223.78,1237.13,1219.62,,1237.13,0.405,0.409,0.404,0.410,,1.628
4,AMD Genoa 4th Gen,prover-c3d-60,c3d-highcpu-60,60,15,2000,667.38,666.47,666.15,666.36,,667.38,0.749,0.750,0.751,0.750,,3.000
4,AMD Genoa 4th Gen,prover-c3d-90,c3d-highcpu-90,90,22,2000,490.02,489.43,487.78,485.03,,490.02,1.020,1.022,1.025,1.031,,4.098
4,ARM64 Neoverse V2,prover-vm-6,c4a-highcpu-48,48,12,2000,507.71,507.44,506.13,506.97,,507.71,0.985,0.985,0.988,0.986,,3.944
4,ARM64 Neoverse V2,prover-vm-4,c4a-highcpu-64,64,16,2000,413.24,412.22,412.70,413.27,,413.27,1.210,1.213,1.212,1.210,,4.845
4,ARM64 Neoverse V2,prover-vm-5,c4a-highcpu-72,72,18,2000,381.62,381.27,381.10,380.72,,381.62,1.310,1.311,1.312,1.313,,5.246
4,AMD Turin 5th Gen,prover-c4d-32,c4d-highcpu-32,32,8,2000,856.19,857.51,855.32,856.73,,857.51,0.584,0.583,0.585,0.584,,2.336
4,AMD Turin 5th Gen,prover-c4d-48,c4d-highcpu-48,48,12,2000,648.35,647.68,648.15,647.78,,648.35,0.771,0.772,0.771,0.772,,3.086
4,AMD Turin 5th Gen,prover-c4d-64,c4d-highcpu-64,64,16,2000,477.61,477.23,476.82,477.18,,477.61,1.047,1.048,1.049,1.048,,4.192
4,AMD Turin 5th Gen,prover-c4d-96,c4d-highcpu-96,96,24,2000,379.56,379.22,376.92,379.03,,379.56,1.317,1.319,1.327,1.319,,5.282
4,AMD Milan 3rd Gen,prover-t2d-32,t2d-standard-32,32,8,2000,950.49,950.37,950.02,954.28,,954.28,0.526,0.526,0.526,0.524,,2.102
4,AMD Milan 3rd Gen,prover-t2d-48,t2d-standard-48,48,12,2000,615.29,614.62,615.47,614.66,,615.47,0.813,0.814,0.812,0.813,,3.252
5,AMD Genoa 4th Gen,prover-c3d-30,c3d-highcpu-30,30,6,2500,1497.30,1482.34,1494.72,1501.99,1490.79,1501.99,0.334,0.337,0.335,0.333,0.335,1.674
5,AMD Genoa 4th Gen,prover-c3d-60,c3d-highcpu-60,60,12,2500,797.99,793.35,795.91,798.01,792.19,798.01,0.627,0.630,0.628,0.627,0.631,3.143
5,AMD Genoa 4th Gen,prover-c3d-90,c3d-highcpu-90,90,18,2500,576.57,572.04,574.47,574.52,575.74,576.57,0.867,0.874,0.870,0.870,0.868,4.349
5,ARM64 Neoverse V2,prover-vm-4,c4a-highcpu-64,64,12,2500,505.56,504.22,506.07,506.75,506.31,506.75,0.989,0.992,0.988,0.987,0.988,4.944
5,ARM64 Neoverse V2,prover-vm-5,c4a-highcpu-72,72,14,2500,451.07,449.35,449.97,450.53,451.17,451.17,1.108,1.113,1.111,1.110,1.108,5.550
5,AMD Turin 5th Gen,prover-c4d-32,c4d-highcpu-32,32,6,2500,1061.13,1059.48,1067.70,1056.42,1054.62,1067.70,0.471,0.472,0.468,0.473,0.474,2.358
5,AMD Turin 5th Gen,prover-c4d-48,c4d-highcpu-48,48,9,2500,796.86,796.10,796.62,795.97,795.96,796.86,0.627,0.628,0.628,0.628,0.628,3.139
5,AMD Turin 5th Gen,prover-c4d-64,c4d-highcpu-64,64,12,2500,573.94,573.94,569.39,573.94,573.92,573.94,0.871,0.871,0.878,0.871,0.871,4.362
5,AMD Turin 5th Gen,prover-c4d-96,c4d-highcpu-96,96,19,2500,443.68,444.36,442.58,445.15,442.43,445.15,1.127,1.125,1.130,1.123,1.130,5.635
5,AMD Milan 3rd Gen,prover-t2d-32,t2d-standard-32,32,6,2500,1221.34,1213.57,1227.31,1225.46,1207.93,1227.31,0.409,0.412,0.407,0.408,0.414,2.050
5,AMD Milan 3rd Gen,prover-t2d-48,t2d-standard-48,48,9,2500,760.98,761.00,759.59,764.51,760.22,764.51,0.657,0.657,0.658,0.654,0.658,3.284
5,AMD Milan 3rd Gen,prover-t2d-60,t2d-standard-60,60,12,2500,636.38,636.62,634.94,634.85,640.63,640.63,0.786,0.785,0.787,0.788,0.780,3.926
