Trial ID,Milestone,Release Tag,Paradigm,Instance Family,Machine Type,vCPU Count,Silicon Architecture,Concurrency Parameter,Concurrency Value,Benchmark Command,Min Time (s),Max Time (s),Avg Time (s),Concurrent Blocks in Flight (L),Required Bare-Metal VM/Cluster Units
1,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-16,16,ARM64 Neoverse V2,JOBS=1,1,cloud-bench-run TARGET=prover-c4a-highcpu-16 SHAPE=c4a-highcpu-16 JOBS=1,650.309,650.309,650.309,6504,6504
2,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-16,16,ARM64 Neoverse V2,JOBS=2,2,cloud-bench-run TARGET=prover-c4a-highcpu-16 SHAPE=c4a-highcpu-16 JOBS=2,650.309,650.799,650.554,6506,3253
3,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-16,16,ARM64 Neoverse V2,JOBS=3,3,cloud-bench-run TARGET=prover-c4a-highcpu-16 SHAPE=c4a-highcpu-16 JOBS=3,650.309,651.289,650.799,6508,2170
4,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-16,16,ARM64 Neoverse V2,JOBS=4,4,cloud-bench-run TARGET=prover-c4a-highcpu-16 SHAPE=c4a-highcpu-16 JOBS=4,650.309,651.779,651.044,6511,1628
5,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-16,16,ARM64 Neoverse V2,JOBS=5,5,cloud-bench-run TARGET=prover-c4a-highcpu-16 SHAPE=c4a-highcpu-16 JOBS=5,650.309,652.269,651.289,6513,1303
6,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-32,32,ARM64 Neoverse V2,JOBS=1,1,cloud-bench-run TARGET=prover-c4a-highcpu-32 SHAPE=c4a-highcpu-32 JOBS=1,350.21,350.21,350.21,3503,3503
7,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-32,32,ARM64 Neoverse V2,JOBS=2,2,cloud-bench-run TARGET=prover-c4a-highcpu-32 SHAPE=c4a-highcpu-32 JOBS=2,350.21,350.7,350.455,3505,1753
8,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-32,32,ARM64 Neoverse V2,JOBS=3,3,cloud-bench-run TARGET=prover-c4a-highcpu-32 SHAPE=c4a-highcpu-32 JOBS=3,350.21,351.19,350.7,3507,1169
9,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-32,32,ARM64 Neoverse V2,JOBS=4,4,cloud-bench-run TARGET=prover-c4a-highcpu-32 SHAPE=c4a-highcpu-32 JOBS=4,350.21,351.68,350.945,3510,878
10,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-32,32,ARM64 Neoverse V2,JOBS=5,5,cloud-bench-run TARGET=prover-c4a-highcpu-32 SHAPE=c4a-highcpu-32 JOBS=5,350.21,352.17,351.19,3512,703
