Index,Code Taxonomy,Assigned Machine Type,Saturated Block Proving Time (W),Projected Required Fleet,Projected Active CPU Cores,GKE Pod Density per VM,Effective Physical VM Count
1,Monolithic v0.0.1 Baseline,c3d-highcpu-180 (Genoa Zen 4),138.50s,1385 Dedicated VMs,249300 vCPUs,N/A (Monolith),1385 Host VMs
2,Monolithic v0.0.1 Baseline,c4d-highcpu-384 (Turin Zen 5),95.50s,955 Dedicated VMs,366720 vCPUs,N/A (Monolith),955 Host VMs
3,Monolithic v0.0.1 Baseline,t2d-standard-60 (Milan Zen 3),182.40s,1824 Dedicated VMs,109440 vCPUs,N/A (Monolith),1824 Host VMs
4,Monolithic v0.0.1 Baseline,c4a-highcpu-64 (ARM Axion),200.96s,2010 Dedicated VMs,128640 vCPUs,N/A (Monolith),2010 Host VMs
5,Monolithic v0.0.2 Dynamic,c3d-highcpu-180 (Genoa Zen 4),113.30s,1133 Dedicated VMs,203940 vCPUs,N/A (Monolith),1133 Host VMs
6,Monolithic v0.0.2 Dynamic,c4d-highcpu-384 (Turin Zen 5),78.10s,781 Dedicated VMs,299904 vCPUs,N/A (Monolith),781 Host VMs
7,Monolithic v0.0.2 Dynamic,t2d-standard-60 (Milan Zen 3),149.20s,1492 Dedicated VMs,89520 vCPUs,N/A (Monolith),1492 Host VMs
8,Distributed Radix-2 0.0.3,c3d-highcpu-180 (Genoa Zen 4),19.50s,195 Proving Pod Units,23400 Pinned vCPUs,6 Pods / VM,130 Host VMs
9,Distributed Radix-2 0.0.3,c4d-highcpu-384 (Turin Zen 5),13.65s,137 Proving Pod Units,16440 Pinned vCPUs,12 Pods / VM,46 Host VMs
10,Distributed Radix-2 0.0.3,c4a-highcpu-64 (ARM Axion),24.01s,240 Proving Pod Units,49920 Pinned vCPUs,1.23 Pods / VM,780 Host VMs
11,Distributed Radix-2 0.0.3,t2d-standard-60 (Milan Zen 3),26.41s,264 Proving Pod Units,31680 Pinned vCPUs,2 Pods / VM,528 Host VMs
12,Potential Radix-16 v0.1.0,c3d-highcpu-180 (Genoa Zen 4),8.58s,86 Proving Pod Units,10320 Pinned vCPUs,6 Pods / VM,58 Host VMs
13,Potential Radix-16 v0.1.0,c4d-highcpu-384 (Turin Zen 5),6.00s,60 Proving Pod Units,7200 Pinned vCPUs,12 Pods / VM,20 Host VMs
14,Potential Radix-16 v0.1.0,c4a-highcpu-64 (ARM Axion),10.56s,106 Proving Pod Units,22080 Pinned vCPUs,1.23 Pods / VM,345 Host VMs
15,Potential Radix-16 v0.1.0,t2d-standard-60 (Milan Zen 3),11.62s,116 Proving Pod Units,13920 Pinned vCPUs,2 Pods / VM,232 Host VMs
